count, time, location_pos_x, location_pos_y, location_pos_z, location_roll, location_pitch, location_yaw, 
120, 0, -9.364, -42.602,  0.000,  0.000,  0.000, -0.104, 
121, 0, -9.001, -42.624,  0.000,  0.000,  0.000, -0.061, 
122, 0, -8.616, -42.637,  0.000,  0.000,  0.000, -0.036, 
123, 0, -8.229, -42.646,  0.000,  0.000,  0.000, -0.022, 
124, 0, -7.843, -42.644,  0.000,  0.000, -0.000,  0.005, 
125, 0, -7.458, -42.632,  0.000,  0.000, -0.000,  0.034, 
126, 0, -7.073, -42.606,  0.000,  0.000, -0.000,  0.070, 
127, 0, -6.703, -42.574,  0.000,  0.000, -0.000,  0.084, 
128, 0, -6.317, -42.548,  0.000,  0.000, -0.000,  0.063, 
129, 0, -5.930, -42.530,  0.000,  0.000, -0.000,  0.051, 
130, 0, -5.541, -42.508,  0.000,  0.000, -0.000,  0.057, 
131, 0, -5.155, -42.476,  0.000,  0.000, -0.000,  0.081, 
132, 0, -4.768, -42.441,  0.000,  0.000, -0.000,  0.093, 
133, 0, -4.382, -42.407,  0.000,  0.000, -0.000,  0.086, 
134, 0, -3.995, -42.375,  0.000,  0.000, -0.000,  0.081, 
135, 0, -3.609, -42.355,  0.000,  0.000, -0.000,  0.050, 
136, 0, -3.228, -42.352,  0.000,  0.000, -0.000,  0.002, 
137, 0, -2.847, -42.359,  0.000,  0.000,  0.000, -0.019, 
138, 0, -2.461, -42.371,  0.000,  0.000,  0.000, -0.037, 
139, 0, -2.074, -42.393,  0.000,  0.000,  0.000, -0.053, 
140, 0, -1.686, -42.409,  0.000,  0.000,  0.000, -0.039, 
141, 0, -1.301, -42.428,  0.000,  0.000,  0.000, -0.058, 
142, 0, -0.914, -42.466,  0.000,  0.000,  0.000, -0.096, 
143, 0, -0.528, -42.510,  0.000,  0.000,  0.000, -0.114, 
144, 0, -0.144, -42.562,  0.000,  0.000,  0.000, -0.141, 
145, 0,  0.241, -42.622,  0.000,  0.000,  0.000, -0.154, 
146, 0,  0.619, -42.689,  0.000,  0.000,  0.000, -0.174, 
147, 0,  1.005, -42.762,  0.000,  0.000,  0.000, -0.188, 
148, 0,  1.390, -42.842,  0.000,  0.000,  0.000, -0.214, 
149, 0,  1.774, -42.934,  0.000,  0.000,  0.000, -0.233, 
150, 0,  2.151, -43.027,  0.000,  0.000,  0.000, -0.240, 
151, 0,  2.532, -43.122,  0.000,  0.000,  0.000, -0.244, 
152, 0,  2.915, -43.220,  0.000,  0.000,  0.000, -0.250, 
153, 0,  3.298, -43.313,  0.000,  0.000,  0.000, -0.234, 
154, 0,  3.675, -43.390,  0.000,  0.000,  0.000, -0.200, 
155, 0,  4.061, -43.463,  0.000,  0.000,  0.000, -0.187, 
156, 0,  4.445, -43.538,  0.000,  0.000,  0.000, -0.199, 
157, 0,  4.832, -43.621,  0.000,  0.000,  0.000, -0.208, 
158, 0,  5.214, -43.700,  0.000,  0.000,  0.000, -0.196, 
159, 0,  5.595, -43.760,  0.000,  0.000,  0.000, -0.158, 
160, 0,  5.983, -43.818,  0.000,  0.000,  0.000, -0.144, 
161, 0,  6.373, -43.865,  0.000,  0.000,  0.000, -0.116, 
162, 0,  6.764, -43.899,  0.000,  0.000,  0.000, -0.083, 
163, 0,  7.154, -43.920,  0.000,  0.000,  0.000, -0.053, 
164, 0,  7.545, -43.934,  0.000,  0.000,  0.000, -0.034, 
165, 0,  7.936, -43.944,  0.000,  0.000,  0.000, -0.023, 
166, 0,  8.326, -43.957,  0.000,  0.000,  0.000, -0.039, 
167, 0,  8.716, -43.979,  0.000,  0.000,  0.000, -0.053, 
168, 0,  9.100, -44.002,  0.000,  0.000,  0.000, -0.062, 
169, 0,  9.492, -44.027,  0.000,  0.000,  0.000, -0.064, 
