count, time, abs_prox_x, abs_prox_y, abs_prox_z, 
27, 0, -18.254, -137.093,  0.000, 

28, 0, -11.364, -136.746,  0.000, 
28, 0, -18.261, -136.843,  0.000, 
28, 0, -20.586, -129.780,  0.000, 
28, 0, -15.890, -122.591,  0.000, 
28, 0, -11.406, -134.466,  0.000, 
28, 0, -13.122, -136.083,  0.000, 
28, 0, -17.973, -135.271,  0.000, 
28, 0, -11.369, -137.041,  0.000, 
28, 0, -18.932, -135.495,  0.000, 

29, 0, -13.138, -136.107,  0.000, 
29, 0, -19.608, -136.455,  0.000, 
29, 0, -20.551, -129.748,  0.000, 
29, 0, -18.014, -135.309,  0.000, 
29, 0, -17.851, -134.097,  0.000, 
29, 0, -21.925, -132.477,  0.000, 
29, 0, -19.120, -135.680,  0.000, 
29, 0, -21.516, -133.664,  0.000, 
29, 0, -16.099, -122.578,  0.000, 

30, 0, -11.334, -135.814,  0.000, 
30, 0, -19.166, -135.662,  0.000, 
30, 0, -17.564, -132.029,  0.000, 
30, 0, -18.012, -135.317,  0.000, 
30, 0, -13.139, -135.993,  0.000, 
30, 0, -21.624, -134.065,  0.000, 
30, 0, -8.730, -135.308,  0.000, 
30, 0, -20.701, -129.888,  0.000, 
30, 0, -10.233, -133.612,  0.000, 
30, 0, -21.512, -131.270,  0.000, 
30, 0, -20.771, -128.287,  0.000, 
30, 0, -13.848, -110.475,  0.000, 

31, 0, -11.316, -135.816,  0.000, 
31, 0, -19.188, -135.590,  0.000, 
31, 0, -8.735, -135.472,  0.000, 
31, 0, -17.562, -132.026,  0.000, 
31, 0, -9.982, -133.335,  0.000, 
31, 0, -21.604, -134.091,  0.000, 
31, 0, -15.199, -110.241,  0.000, 
31, 0, -20.659, -129.815,  0.000, 
31, 0, -17.779, -133.954,  0.000, 
31, 0, -21.872, -131.455,  0.000, 
31, 0, -25.899, -127.199,  0.000, 
31, 0, -17.750, -124.492,  0.000, 

32, 0, -11.306, -135.807,  0.000, 
32, 0, -8.716, -135.109,  0.000, 
32, 0, -17.463, -131.922,  0.000, 
32, 0, -17.822, -133.945,  0.000, 
32, 0, -21.845, -131.752,  0.000, 
32, 0, -20.631, -129.759,  0.000, 
32, 0, -19.237, -128.569,  0.000, 
32, 0, -12.657, -124.286,  0.000, 
32, 0, -16.228, -122.546,  0.000, 
32, 0, -20.683, -128.106,  0.000, 

33, 0, -8.696, -134.578,  0.000, 
33, 0, -17.789, -133.954,  0.000, 
33, 0, -17.502, -131.931,  0.000, 
33, 0, -17.354, -130.195,  0.000, 
33, 0, -16.225, -122.516,  0.000, 
33, 0, -11.126, -126.039,  0.000, 
33, 0, -20.625, -128.006,  0.000, 
33, 0, -23.188, -134.154,  0.000, 

34, 0, -17.450, -131.875,  0.000, 
34, 0, -17.254, -130.115,  0.000, 
34, 0, -20.601, -128.076,  0.000, 
34, 0, -12.412, -124.297,  0.000, 
34, 0, -8.691, -134.605,  0.000, 
34, 0, -21.797, -131.660,  0.000, 

35, 0, -17.434, -131.800,  0.000, 
35, 0, -17.188, -130.047,  0.000, 
35, 0, -20.576, -128.046,  0.000, 
35, 0, -12.462, -124.258,  0.000, 
35, 0, -21.757, -132.186,  0.000, 
35, 0, -17.782, -133.813,  0.000, 
35, 0, -15.959, -122.469,  0.000, 
35, 0, -20.906, -132.182,  0.000, 
35, 0, -8.691, -134.427,  0.000, 
35, 0, -11.017, -126.057,  0.000, 

36, 0, -17.312, -130.140,  0.000, 
36, 0, -21.513, -131.889,  0.000, 
36, 0, -16.081, -122.438,  0.000, 
36, 0, -11.124, -126.001,  0.000, 
36, 0, -20.574, -129.642,  0.000, 
36, 0, -17.444, -131.823,  0.000, 
36, 0, -21.543, -133.432,  0.000, 

37, 0, -17.230, -130.034,  0.000, 
37, 0, -21.786, -132.304,  0.000, 
37, 0, -16.113, -122.458,  0.000, 
37, 0, -20.605, -129.667,  0.000, 
37, 0, -21.248, -132.903,  0.000, 
37, 0, -17.143, -126.951,  0.000, 
37, 0, -17.458, -131.825,  0.000, 
37, 0, -17.282, -129.195,  0.000, 
37, 0, -12.635, -124.193,  0.000, 

38, 0, -17.257, -130.046,  0.000, 
38, 0, -21.823, -131.821,  0.000, 
38, 0, -15.943, -122.521,  0.000, 
38, 0, -20.596, -129.662,  0.000, 
38, 0, -17.209, -128.659,  0.000, 
38, 0, -11.044, -126.014,  0.000, 
38, 0, -16.979, -124.304,  0.000, 
38, 0, -9.777, -127.668,  0.000, 
38, 0, -20.569, -127.993,  0.000, 
38, 0, -17.463, -131.767,  0.000, 

39, 0, -17.281, -130.080,  0.000, 
39, 0, -17.469, -131.742,  0.000, 
39, 0, -15.986, -122.559,  0.000, 
39, 0, -20.541, -129.553,  0.000, 
39, 0, -17.223, -129.231,  0.000, 
39, 0, -11.035, -126.022,  0.000, 
39, 0, -20.508, -127.847,  0.000, 
39, 0, -21.826, -132.071,  0.000, 
39, 0, -12.493, -124.186,  0.000, 
39, 0, -21.713, -129.822,  0.000, 

40, 0, -17.204, -129.955,  0.000, 
40, 0, -15.850, -122.575,  0.000, 
40, 0, -20.502, -129.389,  0.000, 
40, 0, -10.998, -125.999,  0.000, 
40, 0, -17.401, -131.738,  0.000, 
40, 0, -12.555, -124.170,  0.000, 
